12:02:02.036556 00:30:48:5a:b4:ed > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.16.31 tell 172.27.16.117, length 46
12:02:02.042754 c0:8c:60:f9:b8:c1 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Reply 172.27.16.169 is-at c0:8c:60:f9:b8:c1, length 46
12:02:02.111641 00:30:48:5a:b4:ed > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.28.152 tell 172.27.16.117, length 46
12:02:02.270363 e4:11:5b:e5:55:f9 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.16.119 tell 172.27.16.1, length 46
12:02:02.354808 e4:11:5b:e5:55:f9 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.30.14 tell 172.27.16.1, length 46
12:02:02.355020 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.68 is-at 0c:85:25:cb:75:c0, length 28
12:02:02.359498 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.68 is-at 00:24:f9:ff:38:c0, length 28
12:02:02.372614 00:0c:29:20:7d:ea > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.22.14 tell 172.27.22.166, length 46
12:02:02.387848 00:15:17:1f:f1:62 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.28.56 (ff:ff:ff:ff:ff:ff) tell 172.27.28.56, length 46
12:02:02.457565 d8:16:c1:54:07:1d > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.16.254 tell 172.27.27.148, length 46
12:02:02.635427 00:a0:98:a4:29:e0 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.19.255 tell 172.27.22.60, length 46
12:02:02.640384 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at 08:d0:9f:4b:41:c0, length 28
12:02:02.644086 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at ec:e1:a9:af:28:c0, length 28
12:02:02.647650 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at 08:d0:9f:4b:41:c0, length 28
12:02:02.681198 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at ec:e1:a9:af:28:c0, length 28
12:02:02.707012 e4:11:5b:e5:55:f9 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.13.6 tell 172.27.16.1, length 46
12:02:02.773943 00:15:17:1f:b8:42 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.22.234 (ff:ff:ff:ff:ff:ff) tell 172.27.22.234, length 46
